date,source,tocurrency,rate,Day Of Week
2007-01-01,USD,INR,44.33136,0
2007-01-02,USD,INR,44.200646,1
2007-01-03,USD,INR,44.244253,2
2007-01-04,USD,INR,44.193343,3
2007-01-05,USD,INR,44.22277,4
2007-01-06,USD,INR,44.208146,5
2007-01-07,USD,INR,44.208146,6
2007-01-08,USD,INR,44.378013,0
2007-01-09,USD,INR,44.293742,1
2007-01-10,USD,INR,44.469996,2
2007-01-11,USD,INR,44.521438,3
2007-01-12,USD,INR,44.383031,4
2007-01-13,USD,INR,44.327564,5
2007-01-14,USD,INR,44.327564,6
2007-01-15,USD,INR,44.282433,0
2007-01-16,USD,INR,44.212313,1
2007-01-17,USD,INR,44.13704,2
2007-01-18,USD,INR,44.160031,3
2007-01-19,USD,INR,44.17484,4
2007-01-20,USD,INR,44.163994,5
2007-01-21,USD,INR,44.163994,6
2007-01-22,USD,INR,44.141885,0
2007-01-23,USD,INR,44.174446,1
2007-01-24,USD,INR,44.223089,2
2007-01-25,USD,INR,44.162342,3
2007-01-26,USD,INR,44.116579,4
2007-01-27,USD,INR,44.13595,5
2007-01-28,USD,INR,44.13595,6
2007-01-29,USD,INR,44.155028,0
2007-01-30,USD,INR,44.110104,1
2007-01-31,USD,INR,44.100747,2
2007-02-01,USD,INR,44.028331,3
2007-02-02,USD,INR,44.025078,4
2007-02-03,USD,INR,44.041439,5
2007-02-04,USD,INR,44.041439,6
2007-02-05,USD,INR,44.047067,0
2007-02-06,USD,INR,44.033684,1
2007-02-07,USD,INR,44.023126,2
2007-02-08,USD,INR,44.01361,3
2007-02-09,USD,INR,43.985142,4
2007-02-10,USD,INR,43.969916,5
2007-02-11,USD,INR,43.969916,6
2007-02-12,USD,INR,44.005265,0
2007-02-13,USD,INR,44.061416,1
2007-02-14,USD,INR,43.953252,2
2007-02-15,USD,INR,43.967056,3
2007-02-16,USD,INR,43.872104,4
2007-02-17,USD,INR,43.880927,5
2007-02-18,USD,INR,43.880927,6
2007-02-19,USD,INR,44.024568,0
2007-02-20,USD,INR,44.103612,1
2007-02-21,USD,INR,44.058587,2
2007-02-22,USD,INR,44.065616,3
2007-02-23,USD,INR,44.092724,4
2007-02-24,USD,INR,44.066149,5
2007-02-25,USD,INR,44.066149,6
2007-02-26,USD,INR,44.033209,0
2007-02-27,USD,INR,44.137208,1
2007-02-28,USD,INR,44.127956,2
2007-03-01,USD,INR,44.092995,3
2007-03-02,USD,INR,44.114212,4
2007-03-03,USD,INR,44.109081,5
2007-03-04,USD,INR,44.109081,6
2007-03-05,USD,INR,44.413992,0
2007-03-06,USD,INR,44.233712,1
2007-03-07,USD,INR,44.236263,2
2007-03-08,USD,INR,44.231232,3
2007-03-09,USD,INR,44.094926,4
2007-03-10,USD,INR,44.104555,5
2007-03-11,USD,INR,44.104555,6
2007-03-12,USD,INR,44.122699,0
2007-03-13,USD,INR,44.082064,1
2007-03-14,USD,INR,44.169539,2
2007-03-15,USD,INR,44.125866,3
2007-03-16,USD,INR,44.032058,4
2007-03-17,USD,INR,44.010922,5
2007-03-18,USD,INR,44.010922,6
2007-03-19,USD,INR,43.998393,0
2007-03-20,USD,INR,43.533506,1
2007-03-21,USD,INR,43.287817,2
2007-03-22,USD,INR,43.546047,3
2007-03-23,USD,INR,43.469142,4
2007-03-24,USD,INR,43.458815,5
2007-03-25,USD,INR,43.458815,6
2007-03-26,USD,INR,43.261988,0
2007-03-27,USD,INR,43.029834,1
2007-03-28,USD,INR,42.836306,2
2007-03-29,USD,INR,43.515479,3
2007-03-30,USD,INR,43.240697,4
2007-03-31,USD,INR,43.348325,5
2007-04-01,USD,INR,43.348325,6
2007-04-02,USD,INR,43.075575,0
2007-04-03,USD,INR,42.914609,1
2007-04-04,USD,INR,42.89214,2
2007-04-05,USD,INR,42.774558,3
2007-04-06,USD,INR,42.752375,4
2007-04-07,USD,INR,42.76475,5
2007-04-08,USD,INR,42.76475,6
2007-04-09,USD,INR,42.682275,0
2007-04-10,USD,INR,42.644649,1
2007-04-11,USD,INR,42.682758,2
2007-04-12,USD,INR,42.709297,3
2007-04-13,USD,INR,42.393794,4
2007-04-14,USD,INR,42.424698,5
2007-04-15,USD,INR,42.424698,6
2007-04-16,USD,INR,41.779706,0
2007-04-17,USD,INR,41.83566,1
2007-04-18,USD,INR,41.907205,2
2007-04-19,USD,INR,41.995973,3
2007-04-20,USD,INR,41.624545,4
2007-04-21,USD,INR,41.58904,5
2007-04-22,USD,INR,41.58904,6
2007-04-23,USD,INR,41.56549,0
2007-04-24,USD,INR,40.752673,1
2007-04-25,USD,INR,40.58433,2
2007-04-26,USD,INR,40.632813,3
2007-04-27,USD,INR,40.846288,4
2007-04-28,USD,INR,40.938192,5
2007-04-29,USD,INR,40.938192,6
2007-04-30,USD,INR,41.032408,0
2007-05-01,USD,INR,41.00054,1
2007-05-02,USD,INR,41.030938,2
2007-05-03,USD,INR,40.853307,3
2007-05-04,USD,INR,40.6648,4
2007-05-05,USD,INR,40.648231,5
2007-05-06,USD,INR,40.648231,6
2007-05-07,USD,INR,40.653047,0
2007-05-08,USD,INR,40.666836,1
2007-05-09,USD,INR,40.713968,2
2007-05-10,USD,INR,41.090649,3
2007-05-11,USD,INR,40.904943,4
2007-05-12,USD,INR,40.904088,5
2007-05-13,USD,INR,40.904088,6
2007-05-14,USD,INR,40.648374,0
2007-05-15,USD,INR,40.710295,1
2007-05-16,USD,INR,40.580098,2
2007-05-17,USD,INR,40.680684,3
2007-05-18,USD,INR,40.398879,4
2007-05-19,USD,INR,40.321687,5
2007-05-20,USD,INR,40.321687,6
2007-05-21,USD,INR,40.494471,0
2007-05-22,USD,INR,40.295196,1
2007-05-23,USD,INR,40.344664,2
2007-05-24,USD,INR,40.453282,3
2007-05-25,USD,INR,40.323096,4
2007-05-26,USD,INR,40.281579,5
2007-05-27,USD,INR,40.281579,6
2007-05-28,USD,INR,40.448526,0
2007-05-29,USD,INR,40.329918,1
2007-05-30,USD,INR,40.590695,2
2007-05-31,USD,INR,40.378546,3
2007-06-01,USD,INR,40.401444,4
2007-06-02,USD,INR,40.417066,5
2007-06-03,USD,INR,40.417066,6
2007-06-04,USD,INR,40.373244,0
2007-06-05,USD,INR,40.305053,1
2007-06-06,USD,INR,40.500821,2
2007-06-07,USD,INR,40.514484,3
2007-06-08,USD,INR,40.846852,4
2007-06-09,USD,INR,40.724226,5
2007-06-10,USD,INR,40.724226,6
2007-06-11,USD,INR,40.624373,0
2007-06-12,USD,INR,40.539481,1
2007-06-13,USD,INR,40.735035,2
2007-06-14,USD,INR,40.6877,3
2007-06-15,USD,INR,40.644309,4
2007-06-16,USD,INR,40.651322,5
2007-06-17,USD,INR,40.651322,6
2007-06-18,USD,INR,40.598303,0
2007-06-19,USD,INR,40.629562,1
2007-06-20,USD,INR,40.603159,2
2007-06-21,USD,INR,40.566602,3
2007-06-22,USD,INR,40.614177,4
2007-06-23,USD,INR,40.576811,5
2007-06-24,USD,INR,40.576811,6
2007-06-25,USD,INR,40.755106,0
2007-06-26,USD,INR,40.866534,1
2007-06-27,USD,INR,40.89877,2
2007-06-28,USD,INR,40.76661,3
2007-06-29,USD,INR,40.608726,4
2007-06-30,USD,INR,40.558286,5
2007-07-01,USD,INR,40.558286,6
2007-07-02,USD,INR,40.530497,0
2007-07-03,USD,INR,40.440765,1
2007-07-04,USD,INR,40.419562,2
2007-07-05,USD,INR,40.375347,3
2007-07-06,USD,INR,40.316357,4
2007-07-07,USD,INR,40.244853,5
2007-07-08,USD,INR,40.244853,6
2007-07-09,USD,INR,40.322491,0
2007-07-10,USD,INR,40.316946,1
2007-07-11,USD,INR,40.319459,2
2007-07-12,USD,INR,40.403511,3
2007-07-13,USD,INR,40.273035,4
2007-07-14,USD,INR,40.278304,5
2007-07-15,USD,INR,40.278304,6
2007-07-16,USD,INR,40.2727,0
2007-07-17,USD,INR,40.262058,1
2007-07-18,USD,INR,40.282456,2
2007-07-19,USD,INR,40.279574,3
2007-07-20,USD,INR,40.224638,4
2007-07-21,USD,INR,40.214265,5
2007-07-22,USD,INR,40.214265,6
2007-07-23,USD,INR,40.163627,0
2007-07-24,USD,INR,40.165301,1
2007-07-25,USD,INR,40.245941,2
2007-07-26,USD,INR,40.237581,3
2007-07-27,USD,INR,40.383238,4
2007-07-28,USD,INR,40.364614,5
2007-07-29,USD,INR,40.364614,6
2007-07-30,USD,INR,40.337978,0
2007-07-31,USD,INR,40.208172,1
2007-08-01,USD,INR,40.315975,2
2007-08-02,USD,INR,40.285615,3
2007-08-03,USD,INR,40.264478,4
2007-08-04,USD,INR,40.243302,5
2007-08-05,USD,INR,40.243302,6
2007-08-06,USD,INR,40.246914,0
2007-08-07,USD,INR,40.294026,1
2007-08-08,USD,INR,40.375049,2
2007-08-09,USD,INR,40.434682,3
2007-08-10,USD,INR,40.482987,4
2007-08-11,USD,INR,40.517641,5
2007-08-12,USD,INR,40.517641,6
2007-08-13,USD,INR,40.495237,0
2007-08-14,USD,INR,40.643727,1
2007-08-15,USD,INR,40.563171,2
2007-08-16,USD,INR,41.158586,3
2007-08-17,USD,INR,41.08635,4
2007-08-18,USD,INR,41.09076,5
2007-08-19,USD,INR,41.09076,6
2007-08-20,USD,INR,40.998019,0
2007-08-21,USD,INR,41.027206,1
2007-08-22,USD,INR,40.773678,2
2007-08-23,USD,INR,40.955641,3
2007-08-24,USD,INR,41.006309,4
2007-08-25,USD,INR,41.059067,5
2007-08-26,USD,INR,41.059067,6
2007-08-27,USD,INR,40.954144,0
2007-08-28,USD,INR,41.021234,1
2007-08-29,USD,INR,40.997519,2
2007-08-30,USD,INR,41.061114,3
2007-08-31,USD,INR,40.660371,4
2007-09-01,USD,INR,40.656475,5
2007-09-02,USD,INR,40.656475,6
2007-09-03,USD,INR,40.662638,0
2007-09-04,USD,INR,40.776963,1
2007-09-05,USD,INR,40.854986,2
2007-09-06,USD,INR,40.663445,3
2007-09-07,USD,INR,40.51265,4
2007-09-08,USD,INR,40.524632,5
2007-09-09,USD,INR,40.524632,6
2007-09-10,USD,INR,40.436511,0
2007-09-11,USD,INR,40.402896,1
2007-09-12,USD,INR,40.356589,2
2007-09-13,USD,INR,40.315768,3
2007-09-14,USD,INR,40.391414,4
2007-09-15,USD,INR,40.360101,5
2007-09-16,USD,INR,40.360101,6
2007-09-17,USD,INR,40.515604,0
2007-09-18,USD,INR,40.367416,1
2007-09-19,USD,INR,39.969931,2
2007-09-20,USD,INR,39.748086,3
2007-09-21,USD,INR,39.760125,4
2007-09-22,USD,INR,39.714416,5
2007-09-23,USD,INR,39.714416,6
2007-09-24,USD,INR,39.591684,0
2007-09-25,USD,INR,39.551139,1
2007-09-26,USD,INR,39.596857,2
2007-09-27,USD,INR,39.631458,3
2007-09-28,USD,INR,39.720124,4
2007-09-29,USD,INR,39.658627,5
2007-09-30,USD,INR,39.658627,6
2007-10-01,USD,INR,39.730762,0
2007-10-02,USD,INR,39.658182,1
2007-10-03,USD,INR,39.385712,2
2007-10-04,USD,INR,39.335209,3
2007-10-05,USD,INR,39.425329,4
2007-10-06,USD,INR,39.328767,5
2007-10-07,USD,INR,39.328767,6
2007-10-08,USD,INR,39.465543,0
2007-10-09,USD,INR,39.069264,1
2007-10-10,USD,INR,39.128637,2
2007-10-11,USD,INR,39.201407,3
2007-10-12,USD,INR,39.162172,4
2007-10-13,USD,INR,39.157675,5
2007-10-14,USD,INR,39.157675,6
2007-10-15,USD,INR,39.186623,0
2007-10-16,USD,INR,39.294081,1
2007-10-17,USD,INR,39.459162,2
2007-10-18,USD,INR,39.618173,3
2007-10-19,USD,INR,39.598751,4
2007-10-20,USD,INR,39.64838,5
2007-10-21,USD,INR,39.64838,6
2007-10-22,USD,INR,39.794105,0
2007-10-23,USD,INR,39.532277,1
2007-10-24,USD,INR,39.482078,2
2007-10-25,USD,INR,39.376269,3
2007-10-26,USD,INR,39.285375,4
2007-10-27,USD,INR,39.392749,5
2007-10-28,USD,INR,39.304874,6
2007-10-29,USD,INR,39.336275,0
2007-10-30,USD,INR,39.286141,1
2007-10-31,USD,INR,39.249712,2
2007-11-01,USD,INR,39.241857,3
2007-11-02,USD,INR,39.277787,4
2007-11-03,USD,INR,39.293355,5
2007-11-04,USD,INR,39.293355,6
2007-11-05,USD,INR,39.235853,0
2007-11-06,USD,INR,39.237593,1
2007-11-07,USD,INR,39.190865,2
2007-11-08,USD,INR,39.21764,3
2007-11-09,USD,INR,39.105545,4
2007-11-10,USD,INR,39.137643,5
2007-11-11,USD,INR,39.137643,6
2007-11-12,USD,INR,39.283778,0
2007-11-13,USD,INR,39.296975,1
2007-11-14,USD,INR,39.21661,2
2007-11-15,USD,INR,39.217154,3
2007-11-16,USD,INR,39.233587,4
2007-11-17,USD,INR,39.212245,5
2007-11-18,USD,INR,39.212245,6
2007-11-19,USD,INR,39.259872,0
2007-11-20,USD,INR,39.296428,1
2007-11-21,USD,INR,39.30608,2
2007-11-22,USD,INR,39.385291,3
2007-11-23,USD,INR,39.656453,4
2007-11-24,USD,INR,39.690755,5
2007-11-25,USD,INR,39.690755,6
2007-11-26,USD,INR,39.620706,0
2007-11-27,USD,INR,39.681112,1
2007-11-28,USD,INR,39.652162,2
2007-11-29,USD,INR,39.674208,3
2007-11-30,USD,INR,39.544402,4
2007-12-01,USD,INR,39.575234,5
2007-12-02,USD,INR,39.575234,6
2007-12-03,USD,INR,39.449696,0
2007-12-04,USD,INR,39.345912,1
2007-12-05,USD,INR,39.351781,2
2007-12-06,USD,INR,39.389128,3
