2018,"[63.61552119354839, 64.44885832142856, 65.04169216129033, 65.68700323333333, 67.50892812903224, 67.75483848387097, 68.6614654516129, 69.57460880645161, 72.23412933333334, 73.73052035483872, 72.15457015999999, nan]"
2017,"[68.05680264516128, 66.93892817857143, 65.8490321935484, 64.5239897, 64.41869383870967, 64.43204623333334, 64.42004025806452, 63.976866774193546, 64.40885999999999, 65.05859754838711, 64.83987113333335, 64.21648770967741]"
2016,"[67.27909483870967, 68.25780341379311, 66.90909751612902, 66.46393513333334, 66.94090425806453, 67.2566731, 67.14910122580645, 66.93645848387096, 66.73580016666666, 66.73161819354839, 67.70613713333331, 67.79911293548386]"
2015,"[62.177305161290334, 62.03257321428571, 62.49575741935483, 62.660387, 63.70812519354838, 63.806148333333326, 63.601888064516125, 65.08337954838709, 66.24084058064516, 65.02686361290321, 66.13282463333333, 66.5123699032258]"
2014,"[62.02409516129032, 62.15302535714285, 60.99774225806451, 60.34856633333333, 59.28578387096774, 59.70863666666666, 60.02795967741936, 60.83172225806451, 60.867852666666664, 61.357514838709676, 61.66600699999999, 62.823659032258064]"
2013,"[54.253481483870964, 53.8330845, 54.417963096774194, 54.3429495, 54.9214015483871, 58.258296633333345, 59.76801935483872, 62.772127032258076, 63.81737163333333, 61.47919899999999, 62.56692933333333, 61.83953548387097]"
2012,"[51.17975870967743, 49.199383379310355, 50.33679803225806, 51.70078713333334, 54.34707635483871, 55.94850270000001, 55.38062696774194, 55.52026770967743, 54.405152199999996, 53.05692300000001, 54.79913283333333, 54.6544970967742]"
2011,"[45.409386096774185, 45.414422571428574, 44.952932258064514, 44.34436473333332, 44.911946774193545, 44.83566599999998, 44.39901387096774, 45.37906074193548, 47.5353711, 49.22165245161289, 50.7460743, 52.41877932258065]"
2010,"[45.98709738709678, 46.336440321428576, 45.45437777419354, 44.473880433333335, 45.81874035483872, 46.55867263333334, 46.79772938709679, 46.54208741935485, 45.95833989999999, 44.38494251612903, 44.991775100000005, 45.1184930967742]"
2009,"[48.66918419354838, 49.22800078571428, 51.14205132258065, 49.95783756666667, 48.49196103225806, 47.71006356666666, 48.408992580645155, 48.25472783870968, 48.34247513333334, 46.70118654838709, 46.54033233333333, 46.56750277419355]"
